1,0.169363,0.169088,1.621633,-53.951925,24.193116,-465.189174
2,0.170598,0.175697,1.724573,-59.182816,71.717372,-465.894689
3,0.164868,0.165846,1.669126,-53.852047,46.074275,-460.644166
6,0.156597,0.161172,1.512925,-52.118854,-29.564473,-462.467239
10,0.208897,0.226911,1.720152,-74.18346,67.665244,-496.735132
11,0.21992,0.222803,1.631665,-73.905782,29.862475,-493.797933
12,0.178927,0.17784,1.637726,-81.538774,30.203473,-481.348334
13,0.232198,0.119317,1.621607,-79.114933,18.725045,-483.084814
14,0.146169,0.205833,1.646544,-80.989669,37.897738,-481.969654
17,0.278753,0.1904,1.619992,-71.983807,24.565839,-497.537165
19,0.25016,0.093421,1.617007,-75.283581,17.648572,-485.639482
20,0.198739,0.155915,1.633119,-79.231588,28.284352,-482.456308
26,0.230806,0.12533,1.623292,-75.697341,21.412022,-485.607067
37,0.243384,0.093762,1.699498,-79.601947,47.712442,-479.002025
38,0.254663,0.091503,1.743932,-83.013319,71.368998,-477.447616
39,0.252167,0.09798,1.802223,-86.34238,94.86481,-478.721831
40,0.26346,0.100488,1.84485,-93.147569,116.585752,-478.918886
