1,3.050433776,-0.176377493,0.394101811,260.4219381,-50.17786575,627.5988296
2,3.024780787,-0.333360959,0.387120431,253.8040855,-76.94732123,627.5988296
3,3.042942711,-0.247524752,0.377277363,260.4759716,-62.97755098,625.1327837
6,3.07101103,-0.007832545,0.388996805,266.6053309,-21.3700132,625.6000344
10,2.998678,-0.332726923,0.485201323,233.9448276,-71.20580385,644.6422698
11,3.023710735,-0.199590012,0.492710823,239.3571905,-50.08576882,644.6422698
12,3.045734354,-0.202335018,0.400014005,235.6213698,-49.32984937,643.4722003
13,-3.096002972,0.183241138,-0.422312761,236.5731628,-44.52830242,643.5204358
14,3.003477928,-0.2120856,0.385677505,235.0207147,-52.08354478,643.6060227
17,3.070980029,-0.189173658,0.539250026,241.1010535,-46.7124194,645.0106905
19,-3.071311626,0.1746128,-0.427852209,237.0075358,-42.97994219,643.6551549
20,3.06842921,-0.196693898,0.411781919,236.0875929,-47.81981924,643.4902883
26,-3.10270002,0.186170803,-0.435900918,237.0318649,-45.11970906,643.655193
37,-3.065372746,0.302286061,-0.4023653,234.3407863,-62.86447907,641.6026905
38,-3.063406248,0.371630197,-0.404226436,231.2862445,-73.30907165,641.6026905
39,-3.058483214,0.463179672,-0.406919003,226.4449258,-86.81572827,641.6873443
40,-3.053181487,0.531701144,-0.41178314,221.7260673,-96.4665732,642.2366588
