1, -0.169363, -0.169088, -1.621633, -24.300496, 47.411019, 465.895660
2, -0.170598, -0.175697, -1.724573, -73.648820, 53.710973, 466.256187
3, -0.164868, -0.165846, -1.669126, -46.710099, 47.156986, 461.313684
4, -0.169928, -0.160146, -1.581964, -5.481164, 43.730716, 461.253892
5, -0.163473, -0.146251, -1.532935, 18.980403, 43.549144, 462.692127
6, -0.156597, -0.161172, -1.512925, 28.410591, 44.086882, 463.374110
7, -0.191939, -0.180857, -1.505369, 31.422527, 55.406498, 481.017534
8, -0.198128, -0.193185, -1.613165, -21.227202, 56.218310, 479.713703
9, -0.194544, -0.199942, -1.673506, -50.209359, 59.154902, 479.529302
10, -0.208897, -0.226911, -1.720152, -73.368498, 73.133138, 496.080810
11, -0.219920, -0.222803, -1.631665, -31.008399, 67.278452, 494.673953
12, -0.178927, -0.177840, -1.637726, -31.785050, 30.200108, 487.170098
13, -0.232198, -0.119317, -1.621607, 14.633859, 29.444477, 488.773578
14, -0.146169, -0.205833, -1.646544, -58.257944, 30.780313, 485.745712
15, -0.203620, -0.271276, -1.636973, -57.346947, 77.893959, 494.635918
16, -0.152157, -0.309411, -1.643763, -87.001135, 78.422576, 491.770583
17, -0.278753, -0.190400, -1.619992, 3.581873, 77.259260, 497.339478
18, -0.223663, -0.139259, -1.625452, 2.651135, 31.082113, 488.298378
19, -0.250160, -0.093421, -1.617007, 29.709218, 30.860650, 489.887517
20, -0.198739, -0.155915, -1.633119, -16.781175, 31.455731, 488.436963
21, -0.131080, -0.221398, -1.651242, -75.112090, 34.617829, 486.546837
22, -0.174821, -0.290533, -1.640615, -74.136869, 77.704612, 492.761020
23, -0.141896, -0.318608, -1.646116, -95.398356, 78.067137, 490.793065
24, -0.301663, -0.183349, -1.616748, 10.724011, 76.523853, 496.793095
25, -0.315460, -0.201186, -1.615032, 10.951194, 89.133510, 498.470221
26, -0.230806, -0.125330, -1.623292, 10.029594, 34.984532, 490.589722
27, -0.257344, -0.101296, -1.616337, 29.153494, 34.769661, 490.432420
28, -0.232636, -0.086545, -1.618538, 29.056895, 23.980134, 488.975874
29, -0.300582, -0.142210, -1.613237, 29.858216, 67.230197, 496.775522
30, -0.229440, -0.221056, -1.630546, -29.634258, 67.811966, 494.315584
31, -0.175797, -0.161762, -1.639212, -30.500619, 22.043654, 485.468574
32, -0.113520, -0.215868, -1.656605, -83.123775, 24.394987, 484.216654
33, -0.156371, -0.309203, -1.641547, -81.763851, 77.271204, 491.816190
34, -0.294249, -0.177476, -1.616930, 10.629108, 76.231237, 497.425968
35, -0.214662, -0.109282, -1.624522, 9.550801, 18.869131, 486.231765
36, -0.229644, -0.098520, -1.617737, 35.011925, 23.531028, 489.479573
37, -0.243384, -0.093762, -1.699498, -5.909110, 26.490312, 487.154219
38, -0.254663, -0.091503, -1.743932, -26.864936, 30.560594, 488.144750
39, -0.252167, -0.097980, -1.802223, -54.284584, 37.325978, 491.211650
40, -0.263460, -0.100488, -1.844850, -74.500165, 43.931746, 494.117126
